"species","bottle","filtered","unfiltered"
"Cosmarium","b_06",78.5340314136126,104.712041884817
"Cosmarium","b_11",52.6315789473684,78.3289817232376
"Cosmarium","b_18",131.233595800525,341.207349081365
"Cosmarium","b_19",261.780104712042,52.2193211488251
"Cosmarium","b_22",1128.60892388451,787.40157480315
"Cosmarium","b_23",320,368.421052631579
"Cosmarium","b_24",104.712041884817,26.3157894736842
"Cosmarium","b_27",997.375328083989,501.31926121372
"Cosmarium","b_29",78.3289817232376,182.291666666667
"Debris","b_01",13674.5406824147,14188.4816753927
"Debris","b_02",15703.125,16640.625
"Debris","b_03",19895.2879581152,22088.772845953
"Debris","b_04",17853.4031413613,14581.1518324607
"Debris","b_05",23245.382585752,25538.0577427822
"Debris","b_06",20000,21256.5445026178
"Debris","b_07",39408.6021505376,36443.8502673797
"Debris","b_08",9870.80103359173,9690.72164948454
"Debris","b_09",17859.0078328982,18385.4166666667
"Debris","b_10",40569.9481865285,35233.1606217617
"Debris","b_11",15473.6842105263,14464.7519582245
"Debris","b_12",27356.0209424084,27585.3018372703
"Debris","b_13",39784.9462365591,38579.0884718499
"Debris","b_14",61385.8695652174,64917.5824175824
"Debris","b_15",27513.0890052356,24345.5497382199
"Debris","b_16",30668.449197861,29064.1711229946
"Debris","b_17",23149.6062992126,23123.3595800525
"Debris","b_18",8556.43044619422,7900.2624671916
"Debris","b_19",25261.780104712,24516.9712793734
"Debris","b_20",29841.2698412698,30949.8680738786
"Debris","b_21",38523.3160621762,35309.2783505155
"Debris","b_22",44461.9422572178,38845.1443569554
"Debris","b_23",9760,9500
"Debris","b_24",24005.2356020942,24789.4736842105
"Debris","b_25",61528.1501340483,62037.037037037
"Debris","b_26",30053.9083557951,29546.6666666667
"Debris","b_27",32440.9448818898,28548.8126649076
"Debris","b_28",34800,31335.0785340314
"Debris","b_29",26710.182767624,24062.5
"Debris","b_30",11085.2713178295,9198.96640826873
"Desmodesmus","b_01",381154.855643045,372853.403141361
"Desmodesmus","b_03",353821.989528796,365221.932114883
"Desmodesmus","b_04",312068.062827225,288795.811518325
"Desmodesmus","b_06",377434.554973822,361256.544502618
"Desmodesmus","b_07",311075.268817204,309545.454545455
"Desmodesmus","b_11",394921.052631579,359190.600522193
"Desmodesmus","b_12",346675.392670157,334383.202099738
"Desmodesmus","b_13",293870.967741936,300080.428954424
